"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"1400000US06075010101","Census Tract 101.01; San Francisco County; California","89022","40627",
"1400000US06075010102","Census Tract 101.02; San Francisco County; California","102826","55857",
"1400000US06075010201","Census Tract 102.01; San Francisco County; California","156017","4484",
"1400000US06075010202","Census Tract 102.02; San Francisco County; California","176958","57906",
"1400000US06075010300","Census Tract 103; San Francisco County; California","158144","24737",
"1400000US06075010401","Census Tract 104.01; San Francisco County; California","181705","83334",
"1400000US06075010402","Census Tract 104.02; San Francisco County; California","203354","81890",
"1400000US06075010500","Census Tract 105; San Francisco County; California","179896","35332",
"1400000US06075010600","Census Tract 106; San Francisco County; California","75938","46221",
"1400000US06075010701","Census Tract 107.01; San Francisco County; California","24854","9420",
"1400000US06075010702","Census Tract 107.02; San Francisco County; California","84904","27839",
"1400000US06075010800","Census Tract 108; San Francisco County; California","123750","67359",
"1400000US06075010901","Census Tract 109.01; San Francisco County; California","183468","32728",
"1400000US06075010902","Census Tract 109.02; San Francisco County; California","155234","49366",
"1400000US06075011001","Census Tract 110.01; San Francisco County; California","129423","30678",
"1400000US06075011002","Census Tract 110.02; San Francisco County; California","157980","27194",
"1400000US06075011101","Census Tract 111.01; San Francisco County; California","93056","36150",
"1400000US06075011102","Census Tract 111.02; San Francisco County; California","104966","27466",
"1400000US06075011200","Census Tract 112; San Francisco County; California","121855","57811",
"1400000US06075011300","Census Tract 113; San Francisco County; California","32623","8966",
"1400000US06075011700","Census Tract 117; San Francisco County; California","51464","19138",
"1400000US06075011800","Census Tract 118; San Francisco County; California","43487","21722",
"1400000US06075011901","Census Tract 119.01; San Francisco County; California","96518","15049",
"1400000US06075011902","Census Tract 119.02; San Francisco County; California","75625","7652",
"1400000US06075012001","Census Tract 120.01; San Francisco County; California","80300","15539",
"1400000US06075012002","Census Tract 120.02; San Francisco County; California","72549","22476",
"1400000US06075012100","Census Tract 121; San Francisco County; California","108000","36079",
"1400000US06075012202","Census Tract 122.02; San Francisco County; California","57897","20106",
"1400000US06075012203","Census Tract 122.03; San Francisco County; California","23440","4741",
"1400000US06075012204","Census Tract 122.04; San Francisco County; California","64707","22981",
"1400000US06075012301","Census Tract 123.01; San Francisco County; California","23385","5835",
"1400000US06075012302","Census Tract 123.02; San Francisco County; California","44954","13482",
"1400000US06075012403","Census Tract 124.03; San Francisco County; California","-","**",
"1400000US06075012404","Census Tract 124.04; San Francisco County; California","-","**",
"1400000US06075012405","Census Tract 124.05; San Francisco County; California","113665","36690",
"1400000US06075012406","Census Tract 124.06; San Francisco County; California","-","**",
"1400000US06075012502","Census Tract 125.02; San Francisco County; California","18217","5598",
"1400000US06075012503","Census Tract 125.03; San Francisco County; California","50696","9034",
"1400000US06075012504","Census Tract 125.04; San Francisco County; California","19333","10499",
"1400000US06075012601","Census Tract 126.01; San Francisco County; California","171058","36071",
"1400000US06075012602","Census Tract 126.02; San Francisco County; California","244000","66328",
"1400000US06075012700","Census Tract 127; San Francisco County; California","234886","58903",
"1400000US06075012801","Census Tract 128.01; San Francisco County; California","215568","79524",
"1400000US06075012802","Census Tract 128.02; San Francisco County; California","250,000+","***",
"1400000US06075012901","Census Tract 129.01; San Francisco County; California","219125","48806",
"1400000US06075012902","Census Tract 129.02; San Francisco County; California","189444","37214",
"1400000US06075013001","Census Tract 130.01; San Francisco County; California","154659","63146",
"1400000US06075013002","Census Tract 130.02; San Francisco County; California","244215","45743",
"1400000US06075013101","Census Tract 131.01; San Francisco County; California","197014","64815",
"1400000US06075013102","Census Tract 131.02; San Francisco County; California","250,000+","***",
"1400000US06075013200","Census Tract 132; San Francisco County; California","164375","81673",
"1400000US06075013300","Census Tract 133; San Francisco County; California","176250","42327",
"1400000US06075013401","Census Tract 134.01; San Francisco County; California","212593","45707",
"1400000US06075013402","Census Tract 134.02; San Francisco County; California","175201","27785",
"1400000US06075013500","Census Tract 135; San Francisco County; California","179194","27912",
"1400000US06075015100","Census Tract 151; San Francisco County; California","159921","23662",
"1400000US06075015201","Census Tract 152.01; San Francisco County; California","91420","13308",
"1400000US06075015202","Census Tract 152.02; San Francisco County; California","156713","66133",
"1400000US06075015300","Census Tract 153; San Francisco County; California","214688","25891",
"1400000US06075015401","Census Tract 154.01; San Francisco County; California","165833","47823",
"1400000US06075015402","Census Tract 154.02; San Francisco County; California","171960","95083",
"1400000US06075015500","Census Tract 155; San Francisco County; California","95841","26722",
"1400000US06075015600","Census Tract 156; San Francisco County; California","92963","23516",
"1400000US06075015701","Census Tract 157.01; San Francisco County; California","182353","66495",
"1400000US06075015702","Census Tract 157.02; San Francisco County; California","216071","60134",
"1400000US06075015801","Census Tract 158.01; San Francisco County; California","121563","32559",
"1400000US06075015802","Census Tract 158.02; San Francisco County; California","152917","36946",
"1400000US06075015900","Census Tract 159; San Francisco County; California","83866","11631",
"1400000US06075016000","Census Tract 160; San Francisco County; California","131771","49682",
"1400000US06075016101","Census Tract 161.01; San Francisco County; California","31690","22394",
"1400000US06075016102","Census Tract 161.02; San Francisco County; California","34575","22167",
"1400000US06075016200","Census Tract 162; San Francisco County; California","102035","45255",
"1400000US06075016300","Census Tract 163; San Francisco County; California","135658","40135",
"1400000US06075016400","Census Tract 164; San Francisco County; California","161612","59713",
"1400000US06075016500","Census Tract 165; San Francisco County; California","153096","34731",
"1400000US06075016601","Census Tract 166.01; San Francisco County; California","134211","30604",
"1400000US06075016602","Census Tract 166.02; San Francisco County; California","223877","11098",
"1400000US06075016700","Census Tract 167; San Francisco County; California","239839","36267",
"1400000US06075016801","Census Tract 168.01; San Francisco County; California","123147","43294",
"1400000US06075016802","Census Tract 168.02; San Francisco County; California","135588","66373",
"1400000US06075016900","Census Tract 169; San Francisco County; California","201827","75601",
"1400000US06075017000","Census Tract 170; San Francisco County; California","229013","36415",
"1400000US06075017101","Census Tract 171.01; San Francisco County; California","201944","30165",
"1400000US06075017102","Census Tract 171.02; San Francisco County; California","173594","22006",
"1400000US06075017602","Census Tract 176.02; San Francisco County; California","-","**",
"1400000US06075017603","Census Tract 176.03; San Francisco County; California","124291","34349",
"1400000US06075017604","Census Tract 176.04; San Francisco County; California","101761","18881",
"1400000US06075017700","Census Tract 177; San Francisco County; California","124679","74100",
"1400000US06075017801","Census Tract 178.01; San Francisco County; California","28408","7277",
"1400000US06075017803","Census Tract 178.03; San Francisco County; California","85909","68359",
"1400000US06075017804","Census Tract 178.04; San Francisco County; California","134264","15623",
"1400000US06075017903","Census Tract 179.03; San Francisco County; California","93269","26466",
"1400000US06075018000","Census Tract 180; San Francisco County; California","212439","55153",
"1400000US06075020101","Census Tract 201.01; San Francisco County; California","135759","34324",
"1400000US06075020102","Census Tract 201.02; San Francisco County; California","100761","64064",
"1400000US06075020201","Census Tract 202.01; San Francisco County; California","94265","66756",
"1400000US06075020202","Census Tract 202.02; San Francisco County; California","166985","40083",
"1400000US06075020300","Census Tract 203; San Francisco County; California","182547","44542",
"1400000US06075020401","Census Tract 204.01; San Francisco County; California","196667","43939",
"1400000US06075020402","Census Tract 204.02; San Francisco County; California","152097","30439",
"1400000US06075020500","Census Tract 205; San Francisco County; California","250,000+","***",
"1400000US06075020601","Census Tract 206.01; San Francisco County; California","235568","36024",
"1400000US06075020602","Census Tract 206.02; San Francisco County; California","207958","88319",
"1400000US06075020701","Census Tract 207.01; San Francisco County; California","223707","44389",
"1400000US06075020702","Census Tract 207.02; San Francisco County; California","160179","19527",
"1400000US06075020801","Census Tract 208.01; San Francisco County; California","133953","38034",
"1400000US06075020802","Census Tract 208.02; San Francisco County; California","119667","77494",
"1400000US06075020900","Census Tract 209; San Francisco County; California","96250","12171",
"1400000US06075021000","Census Tract 210; San Francisco County; California","178558","73379",
"1400000US06075021100","Census Tract 211; San Francisco County; California","250,000+","***",
"1400000US06075021200","Census Tract 212; San Francisco County; California","201786","26857",
"1400000US06075021300","Census Tract 213; San Francisco County; California","208641","47805",
"1400000US06075021400","Census Tract 214; San Francisco County; California","213462","43123",
"1400000US06075021500","Census Tract 215; San Francisco County; California","178488","29760",
"1400000US06075021600","Census Tract 216; San Francisco County; California","237083","35980",
"1400000US06075021700","Census Tract 217; San Francisco County; California","133300","40064",
"1400000US06075021800","Census Tract 218; San Francisco County; California","250,000+","***",
"1400000US06075022600","Census Tract 226; San Francisco County; California","232036","39380",
"1400000US06075022702","Census Tract 227.02; San Francisco County; California","250,000+","***",
"1400000US06075022704","Census Tract 227.04; San Francisco County; California","250,000+","***",
"1400000US06075022801","Census Tract 228.01; San Francisco County; California","160417","46492",
"1400000US06075022802","Census Tract 228.02; San Francisco County; California","107083","42545",
"1400000US06075022803","Census Tract 228.03; San Francisco County; California","164665","41143",
"1400000US06075022901","Census Tract 229.01; San Francisco County; California","101617","22137",
"1400000US06075022902","Census Tract 229.02; San Francisco County; California","205583","89893",
"1400000US06075022903","Census Tract 229.03; San Francisco County; California","189875","70187",
"1400000US06075023001","Census Tract 230.01; San Francisco County; California","129866","71725",
"1400000US06075023003","Census Tract 230.03; San Francisco County; California","102137","50792",
"1400000US06075023102","Census Tract 231.02; San Francisco County; California","43882","18747",
"1400000US06075023103","Census Tract 231.03; San Francisco County; California","30486","9786",
"1400000US06075023200","Census Tract 232; San Francisco County; California","82019","40519",
"1400000US06075023300","Census Tract 233; San Francisco County; California","89531","32995",
"1400000US06075023400","Census Tract 234; San Francisco County; California","62647","19009",
"1400000US06075025100","Census Tract 251; San Francisco County; California","165759","42807",
"1400000US06075025200","Census Tract 252; San Francisco County; California","197853","96390",
"1400000US06075025300","Census Tract 253; San Francisco County; California","181578","25731",
"1400000US06075025401","Census Tract 254.01; San Francisco County; California","204844","55345",
"1400000US06075025402","Census Tract 254.02; San Francisco County; California","190625","32681",
"1400000US06075025403","Census Tract 254.03; San Francisco County; California","147083","76803",
"1400000US06075025501","Census Tract 255.01; San Francisco County; California","113920","34237",
"1400000US06075025502","Census Tract 255.02; San Francisco County; California","180341","29112",
"1400000US06075025600","Census Tract 256; San Francisco County; California","144100","28691",
"1400000US06075025701","Census Tract 257.01; San Francisco County; California","130538","5638",
"1400000US06075025702","Census Tract 257.02; San Francisco County; California","125473","23576",
"1400000US06075025800","Census Tract 258; San Francisco County; California","82188","46842",
"1400000US06075025900","Census Tract 259; San Francisco County; California","175524","39071",
"1400000US06075026001","Census Tract 260.01; San Francisco County; California","120650","28736",
"1400000US06075026002","Census Tract 260.02; San Francisco County; California","127768","45460",
"1400000US06075026003","Census Tract 260.03; San Francisco County; California","105250","38558",
"1400000US06075026004","Census Tract 260.04; San Francisco County; California","146136","31459",
"1400000US06075026100","Census Tract 261; San Francisco County; California","122222","32592",
"1400000US06075026201","Census Tract 262.01; San Francisco County; California","160417","16077",
"1400000US06075026202","Census Tract 262.02; San Francisco County; California","148429","15408",
"1400000US06075026301","Census Tract 263.01; San Francisco County; California","115125","28621",
"1400000US06075026302","Census Tract 263.02; San Francisco County; California","92031","24740",
"1400000US06075026303","Census Tract 263.03; San Francisco County; California","96146","29914",
"1400000US06075026401","Census Tract 264.01; San Francisco County; California","82045","39073",
"1400000US06075026402","Census Tract 264.02; San Francisco County; California","151250","58644",
"1400000US06075026403","Census Tract 264.03; San Francisco County; California","75156","54991",
"1400000US06075026404","Census Tract 264.04; San Francisco County; California","84415","15218",
"1400000US06075030101","Census Tract 301.01; San Francisco County; California","156156","14224",
"1400000US06075030102","Census Tract 301.02; San Francisco County; California","208712","56453",
"1400000US06075030201","Census Tract 302.01; San Francisco County; California","109659","29006",
"1400000US06075030202","Census Tract 302.02; San Francisco County; California","122697","72861",
"1400000US06075030301","Census Tract 303.01; San Francisco County; California","199167","16153",
"1400000US06075030302","Census Tract 303.02; San Francisco County; California","216188","48434",
"1400000US06075030400","Census Tract 304; San Francisco County; California","137448","38371",
"1400000US06075030500","Census Tract 305; San Francisco County; California","177361","43593",
"1400000US06075030600","Census Tract 306; San Francisco County; California","247500","26925",
"1400000US06075030700","Census Tract 307; San Francisco County; California","185104","66184",
"1400000US06075030800","Census Tract 308; San Francisco County; California","186667","60647",
"1400000US06075030900","Census Tract 309; San Francisco County; California","235109","52661",
"1400000US06075031000","Census Tract 310; San Francisco County; California","206130","15349",
"1400000US06075031100","Census Tract 311; San Francisco County; California","200545","34054",
"1400000US06075031201","Census Tract 312.01; San Francisco County; California","120962","35994",
"1400000US06075031202","Census Tract 312.02; San Francisco County; California","181875","48462",
"1400000US06075031301","Census Tract 313.01; San Francisco County; California","147938","88492",
"1400000US06075031302","Census Tract 313.02; San Francisco County; California","138000","17326",
"1400000US06075031401","Census Tract 314.01; San Francisco County; California","99500","25344",
"1400000US06075031402","Census Tract 314.02; San Francisco County; California","155568","34103",
"1400000US06075032601","Census Tract 326.01; San Francisco County; California","154444","28629",
"1400000US06075032602","Census Tract 326.02; San Francisco County; California","163796","48087",
"1400000US06075032700","Census Tract 327; San Francisco County; California","128244","44507",
"1400000US06075032801","Census Tract 328.01; San Francisco County; California","154257","11807",
"1400000US06075032802","Census Tract 328.02; San Francisco County; California","105195","27318",
"1400000US06075032901","Census Tract 329.01; San Francisco County; California","176000","24116",
"1400000US06075032902","Census Tract 329.02; San Francisco County; California","126471","37072",
"1400000US06075033001","Census Tract 330.01; San Francisco County; California","183021","56589",
"1400000US06075033002","Census Tract 330.02; San Francisco County; California","181000","42152",
"1400000US06075033100","Census Tract 331; San Francisco County; California","176806","43927",
"1400000US06075033201","Census Tract 332.01; San Francisco County; California","-","**",
"1400000US06075033203","Census Tract 332.03; San Francisco County; California","76923","18006",
"1400000US06075033204","Census Tract 332.04; San Francisco County; California","58114","18457",
"1400000US06075035101","Census Tract 351.01; San Francisco County; California","136176","55148",
"1400000US06075035102","Census Tract 351.02; San Francisco County; California","167279","39558",
"1400000US06075035201","Census Tract 352.01; San Francisco County; California","136295","36072",
"1400000US06075035202","Census Tract 352.02; San Francisco County; California","104877","24980",
"1400000US06075035300","Census Tract 353; San Francisco County; California","161074","32675",
"1400000US06075035400","Census Tract 354; San Francisco County; California","149794","22586",
"1400000US06075040100","Census Tract 401; San Francisco County; California","175144","42110",
"1400000US06075040200","Census Tract 402; San Francisco County; California","187679","66618",
"1400000US06075042601","Census Tract 426.01; San Francisco County; California","138646","23006",
"1400000US06075042602","Census Tract 426.02; San Francisco County; California","156726","29255",
"1400000US06075042700","Census Tract 427; San Francisco County; California","102584","21100",
"1400000US06075042800","Census Tract 428; San Francisco County; California","250,000+","***",
"1400000US06075045100","Census Tract 451; San Francisco County; California","211111","46333",
"1400000US06075045201","Census Tract 452.01; San Francisco County; California","166944","34456",
"1400000US06075045202","Census Tract 452.02; San Francisco County; California","133977","53496",
"1400000US06075047600","Census Tract 476; San Francisco County; California","180000","30694",
"1400000US06075047701","Census Tract 477.01; San Francisco County; California","121923","27872",
"1400000US06075047702","Census Tract 477.02; San Francisco County; California","112500","27837",
"1400000US06075047801","Census Tract 478.01; San Francisco County; California","172375","36523",
"1400000US06075047802","Census Tract 478.02; San Francisco County; California","129415","20211",
"1400000US06075047902","Census Tract 479.02; San Francisco County; California","125750","32942",
"1400000US06075047903","Census Tract 479.03; San Francisco County; California","144766","33490",
"1400000US06075047904","Census Tract 479.04; San Francisco County; California","105577","47058",
"1400000US06075060100","Census Tract 601; San Francisco County; California","219750","58390",
"1400000US06075060400","Census Tract 604; San Francisco County; California","77045","40475",
"1400000US06075060502","Census Tract 605.02; San Francisco County; California","39559","32503",
"1400000US06075060701","Census Tract 607.01; San Francisco County; California","231225","62213",
"1400000US06075060702","Census Tract 607.02; San Francisco County; California","147903","14826",
"1400000US06075060703","Census Tract 607.03; San Francisco County; California","179727","55757",
"1400000US06075061000","Census Tract 610; San Francisco County; California","155968","40444",
"1400000US06075061101","Census Tract 611.01; San Francisco County; California","24167","7607",
"1400000US06075061102","Census Tract 611.02; San Francisco County; California","28958","25902",
"1400000US06075061200","Census Tract 612; San Francisco County; California","128380","40345",
"1400000US06075061401","Census Tract 614.01; San Francisco County; California","148598","85610",
"1400000US06075061402","Census Tract 614.02; San Francisco County; California","226290","67216",
"1400000US06075061501","Census Tract 615.01; San Francisco County; California","229363","120085",
"1400000US06075061502","Census Tract 615.02; San Francisco County; California","122422","67094",
"1400000US06075061503","Census Tract 615.03; San Francisco County; California","188441","27520",
"1400000US06075061504","Census Tract 615.04; San Francisco County; California","231414","68901",
"1400000US06075061505","Census Tract 615.05; San Francisco County; California","250,000+","***",
"1400000US06075061506","Census Tract 615.06; San Francisco County; California","250,000+","***",
"1400000US06075061507","Census Tract 615.07; San Francisco County; California","118661","98610",
"1400000US06075061508","Census Tract 615.08; San Francisco County; California","157314","58971",
"1400000US06075980200","Census Tract 9802; San Francisco County; California","-","**",
"1400000US06075980300","Census Tract 9803; San Francisco County; California","107188","43473",
"1400000US06075980401","Census Tract 9804.01; San Francisco County; California","-","**",
"1400000US06075980501","Census Tract 9805.01; San Francisco County; California","12908","1255",
"1400000US06075980600","Census Tract 9806; San Francisco County; California","154375","47835",
"1400000US06075980900","Census Tract 9809; San Francisco County; California","-","**",
"1400000US06075990100","Census Tract 9901; San Francisco County; California","-","**",
"1400000US06075990200","Census Tract 9902; San Francisco County; California","-","**",
